Local time,Open,High,Low,Close,Volume
26.05.2022 06:30:00.000 GMT+0430,32115.719,32164.269,32103.199,32130.699,0.271
26.05.2022 07:30:00.000 GMT+0430,32130.797,32137.499,32063.739,32131.719,0.2783
26.05.2022 08:30:00.000 GMT+0430,32132.709,32135.729,32067.699,32074.999,0.1593
26.05.2022 09:30:00.000 GMT+0430,32074.229,32103.999,32040.269,32058.759,0.2886
26.05.2022 10:30:00.000 GMT+0430,32061.299,32109.499,32037.789,32093.699,0.1893
26.05.2022 11:30:00.000 GMT+0430,32097.717,32244.499,32093.529,32241.799,0.3269
26.05.2022 12:30:00.000 GMT+0430,32241.999,32244.099,32085.529,32122.579,0.2679
26.05.2022 13:30:00.000 GMT+0430,32123.099,32234.299,32095.599,32216.549,0.2495
26.05.2022 14:30:00.000 GMT+0430,32216.597,32251.069,32169.519,32239.009,0.2309
26.05.2022 15:30:00.000 GMT+0430,32239.049,32366.577,32230.529,32325.589,2.0336
26.05.2022 16:30:00.000 GMT+0430,32325.797,32353.299,32211.579,32325.099,2.1382
26.05.2022 17:30:00.000 GMT+0430,32325.047,32531.789,32252.079,32519.269,3.7464
26.05.2022 18:30:00.000 GMT+0430,32519.729,32606.497,32508.229,32582.229,4.4312
26.05.2022 19:30:00.000 GMT+0430,32582.749,32647.799,32559.269,32605.719,3.6864
26.05.2022 20:30:00.000 GMT+0430,32605.777,32720.269,32597.769,32716.209,3.1723
26.05.2022 21:30:00.000 GMT+0430,32716.719,32772.999,32668.239,32709.739,3.3303
26.05.2022 22:30:00.000 GMT+0430,32710.249,32739.269,32650.699,32713.709,3.6177
26.05.2022 23:30:00.000 GMT+0430,32711.769,32774.789,32609.769,32645.769,4.3126
27.05.2022 00:30:00.000 GMT+0430,32645.739,32654.239,32585.719,32599.729,0.6824
27.05.2022 01:30:00.000 GMT+0430,32599.729,32599.729,32599.729,32599.729,0
27.05.2022 02:30:00.000 GMT+0430,32567.249,32624.799,32560.499,32597.209,0.1564
27.05.2022 03:30:00.000 GMT+0430,32597.267,32632.749,32587.779,32618.779,0.1312
27.05.2022 04:30:00.000 GMT+0430,32619.299,32634.279,32522.709,32562.719,0.3235
27.05.2022 05:30:00.000 GMT+0430,32563.799,32600.779,32549.999,32585.219,0.3415
27.05.2022 06:30:00.000 GMT+0430,32585.709,32596.499,32551.779,32556.249,0.2204
27.05.2022 07:30:00.000 GMT+0430,32557.299,32600.799,32554.699,32570.219,0.1564
27.05.2022 08:30:00.000 GMT+0430,32570.709,32608.769,32568.769,32592.799,0.1049
27.05.2022 09:30:00.000 GMT+0430,32592.727,32604.299,32550.759,32574.759,0.1858
27.05.2022 10:30:00.000 GMT+0430,32575.279,32629.767,32548.259,32622.769,0.196
27.05.2022 11:30:00.000 GMT+0430,32624.219,32652.299,32588.099,32618.039,0.3898
27.05.2022 12:30:00.000 GMT+0430,32618.077,32704.599,32604.549,32684.079,0.3163
27.05.2022 13:30:00.000 GMT+0430,32683.997,32737.299,32637.799,32719.059,0.2459
27.05.2022 14:30:00.000 GMT+0430,32719.519,32720.549,32652.009,32694.539,0.2469
27.05.2022 15:30:00.000 GMT+0430,32694.527,32694.527,32604.599,32612.999,1.6515
27.05.2022 16:30:00.000 GMT+0430,32613.039,32765.297,32603.579,32756.799,2.4286
27.05.2022 17:30:00.000 GMT+0430,32756.547,32907.799,32674.259,32880.259,3.6343
27.05.2022 18:30:00.000 GMT+0430,32880.709,32928.277,32840.219,32856.699,4.3465
27.05.2022 19:30:00.000 GMT+0430,32857.799,33000.799,32841.239,32990.229,3.5693
27.05.2022 20:30:00.000 GMT+0430,32991.279,33012.767,32960.729,32989.719,3.0892
27.05.2022 21:30:00.000 GMT+0430,32990.199,33023.289,32941.229,32971.499,2.9884
27.05.2022 22:30:00.000 GMT+0430,32972.219,33034.279,32954.779,33032.289,2.6306
27.05.2022 23:30:00.000 GMT+0430,33032.227,33211.797,33025.219,33211.797,3.5662
28.05.2022 00:30:00.000 GMT+0430,33209.729,33247.739,33192.249,33230.269,0.609
28.05.2022 01:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 02:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 03:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 04:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 05:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 06:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 07:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 08:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 09:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 10:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 11:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 12:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 13:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 14:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 15:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 16:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 17:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 18:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 19:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 20:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 21:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 22:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
28.05.2022 23:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
29.05.2022 00:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
29.05.2022 01:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
29.05.2022 02:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
29.05.2022 03:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
29.05.2022 04:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
29.05.2022 05:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
29.05.2022 06:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
29.05.2022 07:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
29.05.2022 08:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
29.05.2022 09:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
29.05.2022 10:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
29.05.2022 11:30:00.000 GMT+0430,33230.269,33230.269,33230.269,33230.269,0
